id,user_id,property_name,property_street,property_city,property_state,property_zip,property_quadrant,property_lat,property_lon,property_county,property_phone,property_email,listing_url,application_url,available_date,studio_l,studio_h,br1_l,br1_h,br2_l,br2_h,br3_l,br3_h,br4_l,br4_h,br5_l,br5_h,deposit,parking_fee,notes,lease_length,square_feet,age,primary_image,availability,laundry_type,parking_type,accessibility,pets,features,views,favorites,created_at,updated_at
ce669a21-b02d-4fdc-8f5e-38a02bb629d0,d9e484ab-93a2-46ba-a3ab-86cc7c541ba2,Sunshine Meadows,13605 SE Division St.,Portland,OR,97236,SE,45.504348,-122.523539,Multnomah,503-760-6282,,,,,,,1150.00,,1225.00,,,,,,,,,,,,,,https://images1.apartmenthomeliving.com/i2/w0apmlSi_W-RDsIUHP2EyNn34twkdYaeF3NQQ7_bVCk/114/image.jpg,Call to find out about availabilities,In-unit,,,,,,,,
49fdca6c-9c75-459c-a383-c50390bc7b20,d9e484ab-93a2-46ba-a3ab-86cc7c541ba2,Sacred Heart Villa,3911 SE Milwaukie Ave.,Portland,OR,97202,SE,45.4943414,-122.6531846,Multnomah,503-232-1466,sacredheart@cascade-management.com,https://www.cascade-management.com/property/caritas-sacred-heart-villa/details,pdf,,606.00,,696.00,849.00,931.00,,,,,,,,,,,,,55,https://cascade-management.com/files/Property/SH8.PNG,"Waitlist open, for studios and 1BRs about 8 months. Waitlist for 2BRs about 2 months",,,,No pets allowed,,,,,
54e89b42-982c-4fe8-a6c0-cfd09d55b36d,d9e484ab-93a2-46ba-a3ab-86cc7c541ba2,Studio Point Apartments,5605 SE Milwaukie Ave.,Portland,OR,97202,SE,45.4821463,-122.6498821,Multnomah,971-703-8747,studiopoint@cascade-management.com,https://www.cascade-management.com/property/studio-pointe-apartments/details,pdf,,924.00,,,,,,,,,,,,,,,,,,https://www.cascade-management.com/files/Property/STU8.jpg,Call to find out about availabilities,,,,,,,,,
7a94d43c-1c17-42e8-8741-5350c50db9cb,d9e484ab-93a2-46ba-a3ab-86cc7c541ba2,Enclave 54,5434 SE Milwaukie Ave.,Portland,OR,97202,SE,45.4833532,-122.6492929,Multnomah,971-985-4801,Enclave54@Cascade-Management.com,https://www.cascade-management.com/property/enclave-54-apartments/details,pdf,,924.00,,,,,,,,,,,,,,,,,,https://cascade-management.com/files/Property/E5412.jpg,Accepting applications for available units,,,,,,,,,
209cfa0f-6d86-43eb-866a-c4c02af7ed77,d9e484ab-93a2-46ba-a3ab-86cc7c541ba2,Kenneth Alan,3514 SE Cora Dr.,Portland,OR,97202,SE,45.49211,-122.6268044,Multnomah,503-238-1180,kennethalan@qresinc.com,https://www.quantumresidential.com/Kenneth-Alan/,,,,,1100.00,,1150.00,,1350.00,,,,,,,,"Water, sewer, & garbage included. Currently offering 1 month rent free.",,,,https://images1.apartments.com/i2/ycbJ-5hSc5ogbV82yQ5hb0sLCp-1iw5qUxjfyG6l2kc/111/kenneth-alan-apartments-portland-or-primary-photo.jpg,Call to find out about availabilities,On-site,,No ADA accessible units but they can make modifications,,,,,,
15a6ac4b-8665-41ca-82af-19c39b08a73c,d9e484ab-93a2-46ba-a3ab-86cc7c541ba2,Burlwood,14992 SE Division St.,Portland,OR,97236,SE,45.503227,-122.5093515,Multnomah,503-760-3830,burlwood@ipmco.com,,pdf,,,,0.00,,0.00,,0.00,,,,,,,,Subsidized,,,,https://images1.apartments.com/i2/jXfkCMusNWHhGqcASpIX2mf8fYC_dXMU1wm-xO9kJ0I/111/burlwood-apartments-portland-or-primary-photo.jpg,"Waitlist open, 2 year wait",On-site,,No roll in showers,,,,,,
82e32a17-86f9-43da-8941-5d0620fb78e7,d9e484ab-93a2-46ba-a3ab-86cc7c541ba2,Lents Apartments,3709 SE 91st Ave,Portland,OR,97266,SE,45.495145,-122.570456,Multnomah,541-858-8170,,,,,,,850.00,,950.00,,,,,,,,,,,,,,https://images1.apartments.com/i2/OR8ai_GM5SzRnKb3UwM-R5S8cJQ-lpCNm9_5SinM8jg/110/lents-apartments-portland-or-primary-photo.jpg?p=1,Call to find out about availabilities,,,Not ADA accessible,,,,,,
4051d311-7d24-4ec4-b2bb-dfeba05086d4,d9e484ab-93a2-46ba-a3ab-86cc7c541ba2,kenilworth park plaza,3214 SE Holgate Blvd.,Portland,OR,97202,SE,45.4901932,-122.6320995,Multnomah,503-872-1110,nmoore@Holgatecenter.org,,pdf,,1035.00,,1195.00,,,,,,,,,,,,,,,62,,"Waitlist open, 1 year wait",,,,Cats and small dogs under 25 lbs allowed,,,,,
fd54f001-50a5-45b6-9ade-4e996f751687,d9e484ab-93a2-46ba-a3ab-86cc7c541ba2,Summer Run Apts,7810 SE Foster Rd,Portland,OR,97206,SE,45.4839114,-122.5837167,Multnomah,503-774-8885,,,pdf,,0.00,,0.00,,,,,,,,,,,,"Subsidized, 62+",,,62,,"Waitlist open, a couple year wait",,,3 ADA accessible studios,,,,,,
75f05cbc-920f-4dc5-a18c-202c4e8919e1,d9e484ab-93a2-46ba-a3ab-86cc7c541ba2,Westmoreland Union Manor,6404 SE 23rd Ave,Portland,OR,97202,SE,45.4769219,-122.6420073,Multnomah,503-233-5671,doug@manormanagement.com,https://theunionmanors.org/westmorelands-union-manor/,pdf,,0.00,,0.00,,,,,,,,,,,,Subsidized,,,62,,"Waitlist open, 1-2 year wait. ADA accessible, 5 year wait.",,,There are ADA accessible units,,,,,,
